instance, size, algorithm, permutation, initial, time, cost, iterations
N-be75eec_150,150,first,exchange,CW,27.181183,3397712,1162
N-be75eec_150,150,first,exchange,random,28.631810,3388243,1532
N-be75eec_150,150,first,transpose,CW,0.031871,2791789,92
N-be75eec_150,150,first,transpose,random,0.031930,2110005,81
N-be75eec_150,150,first,insert,CW,65.416344,3428494,1616
N-be75eec_150,150,first,insert,random,101.803229,3419060,2397
N-be75np_150,150,first,exchange,CW,28.395358,6980620,950
N-be75np_150,150,first,exchange,random,36.920195,7020919,1451
N-be75np_150,150,first,transpose,CW,0.064284,5674004,115
N-be75np_150,150,first,transpose,random,0.058005,4809500,112
N-be75np_150,150,first,insert,CW,72.960782,7016306,1481
N-be75np_150,150,first,insert,random,105.881507,7116303,2636
N-be75oi_150,150,first,exchange,CW,30.391969,2219513,1066
N-be75oi_150,150,first,exchange,random,35.162273,2214574,1504
N-be75oi_150,150,first,transpose,CW,0.032429,1910448,81
N-be75oi_150,150,first,transpose,random,0.028826,1494458,69
N-be75oi_150,150,first,insert,CW,62.321167,2214572,1341
N-be75oi_150,150,first,insert,random,97.863915,2212119,2181
N-be75tot_150,150,first,exchange,CW,33.065934,11975141,1228
N-be75tot_150,150,first,exchange,random,36.766622,12023524,1476
N-be75tot_150,150,first,transpose,CW,0.064734,9605294,141
N-be75tot_150,150,first,transpose,random,0.069870,7763504,142
N-be75tot_150,150,first,insert,CW,86.306405,12051187,1787
N-be75tot_150,150,first,insert,random,95.182060,11936955,2468
N-stabu1_150,150,first,exchange,CW,32.906934,2817293,1182
N-stabu1_150,150,first,exchange,random,40.444877,2803958,1791
N-stabu1_150,150,first,transpose,CW,0.058641,2321695,127
N-stabu1_150,150,first,transpose,random,0.055939,1827538,124
N-stabu1_150,150,first,insert,CW,83.914568,2840179,1715
N-stabu1_150,150,first,insert,random,121.242990,2824108,2972
N-stabu2_150,150,first,exchange,CW,30.175848,4266313,1395
N-stabu2_150,150,first,exchange,random,28.878521,4224445,1530
N-stabu2_150,150,first,transpose,CW,0.064811,3520854,118
N-stabu2_150,150,first,transpose,random,0.068031,2726108,115
N-stabu2_150,150,first,insert,CW,105.040007,4285305,1943
N-stabu2_150,150,first,insert,random,150.056571,4259868,3102
N-stabu3_150,150,first,exchange,CW,36.935623,4403269,1329
N-stabu3_150,150,first,exchange,random,37.645432,4412899,1720
N-stabu3_150,150,first,transpose,CW,0.060352,3647263,126
N-stabu3_150,150,first,transpose,random,0.069074,2651712,131
N-stabu3_150,150,first,insert,CW,95.412493,4464948,1862
N-stabu3_150,150,first,insert,random,144.085061,4459764,3090
N-t59b11xx_150,150,first,exchange,CW,25.915908,3160490,955
N-t59b11xx_150,150,first,exchange,random,25.802718,3142610,1137
N-t59b11xx_150,150,first,transpose,CW,0.033904,2503785,58
N-t59b11xx_150,150,first,transpose,random,0.024667,2190795,61
N-t59b11xx_150,150,first,insert,CW,66.092927,3179855,1373
N-t59b11xx_150,150,first,insert,random,102.844938,3187265,2051
N-t59d11xx_150,150,first,exchange,CW,29.836143,1434501,1043
N-t59d11xx_150,150,first,exchange,random,32.003992,1431528,1393
N-t59d11xx_150,150,first,transpose,CW,0.048622,1160277,92
N-t59d11xx_150,150,first,transpose,random,0.039508,944878,87
N-t59d11xx_150,150,first,insert,CW,76.406147,1445894,1477
N-t59d11xx_150,150,first,insert,random,109.445927,1433021,2332
N-t59f11xx_150,150,first,exchange,CW,22.771737,1500718,867
N-t59f11xx_150,150,first,exchange,random,31.049014,1501838,1338
N-t59f11xx_150,150,first,transpose,CW,0.039339,1215566,86
N-t59f11xx_150,150,first,transpose,random,0.030311,1017299,76
N-t59f11xx_150,150,first,insert,CW,70.128246,1523633,1363
N-t59f11xx_150,150,first,insert,random,93.685407,1514993,2333
N-t59n11xx_150,150,first,exchange,CW,31.290936,310679,1188
N-t59n11xx_150,150,first,exchange,random,43.897076,313145,1553
N-t59n11xx_150,150,first,transpose,CW,0.041914,247734,90
N-t59n11xx_150,150,first,transpose,random,0.038145,201789,79
N-t59n11xx_150,150,first,insert,CW,71.543709,315362,1349
N-t59n11xx_150,150,first,insert,random,87.754500,311760,2194
N-t65b11xx_150,150,first,exchange,CW,35.535115,6270174,1038
N-t65b11xx_150,150,first,exchange,random,36.355603,6291481,1493
N-t65b11xx_150,150,first,transpose,CW,0.062843,5269515,116
N-t65b11xx_150,150,first,transpose,random,0.038983,4321260,97
N-t65b11xx_150,150,first,insert,CW,77.281535,6374375,1601
N-t65b11xx_150,150,first,insert,random,140.956014,6357867,3073
N-t65d11xx_150,150,first,exchange,CW,26.157170,3464316,1082
N-t65d11xx_150,150,first,exchange,random,30.473892,3430607,1336
N-t65d11xx_150,150,first,transpose,CW,0.055024,2880856,115
N-t65d11xx_150,150,first,transpose,random,0.062227,2385962,113
N-t65d11xx_150,150,first,insert,CW,80.833527,3483112,1755
N-t65d11xx_150,150,first,insert,random,92.858388,3511088,2939
N-t65f11xx_150,150,first,exchange,CW,21.031109,3069310,1057
N-t65f11xx_150,150,first,exchange,random,27.983116,3083560,1517
N-t65f11xx_150,150,first,transpose,CW,0.053250,2503246,126
N-t65f11xx_150,150,first,transpose,random,0.050796,2143139,106
N-t65f11xx_150,150,first,insert,CW,57.635280,3104238,1594
N-t65f11xx_150,150,first,insert,random,97.024368,3077304,3002
N-t65l11xx_150,150,first,exchange,CW,14.579945,247783,830
N-t65l11xx_150,150,first,exchange,random,18.910036,248797,1347
N-t65l11xx_150,150,first,transpose,CW,0.016603,209910,34
N-t65l11xx_150,150,first,transpose,random,0.015639,128191,29
N-t65l11xx_150,150,first,insert,CW,34.415821,250871,838
N-t65l11xx_150,150,first,insert,random,53.816042,248920,1612
N-t65n11xx_150,150,first,exchange,CW,19.670060,532879,1160
N-t65n11xx_150,150,first,exchange,random,21.753226,534727,1533
N-t65n11xx_150,150,first,transpose,CW,0.038275,424213,90
N-t65n11xx_150,150,first,transpose,random,0.042822,342935,99
N-t65n11xx_150,150,first,insert,CW,57.631919,538615,1545
N-t65n11xx_150,150,first,insert,random,102.669616,540462,2877
N-t69r11xx_150,150,first,exchange,CW,24.869229,11501390,1264
N-t69r11xx_150,150,first,exchange,random,23.636468,11422289,1375
N-t69r11xx_150,150,first,transpose,CW,0.039060,8789899,87
N-t69r11xx_150,150,first,transpose,random,0.045983,7600701,93
N-t69r11xx_150,150,first,insert,CW,56.596794,11542091,1667
N-t69r11xx_150,150,first,insert,random,78.669326,11590407,2482
N-t70b11xx_150,150,first,exchange,CW,25.665460,9442090,1182
N-t70b11xx_150,150,first,exchange,random,30.082325,9453455,1623
N-t70b11xx_150,150,first,transpose,CW,0.049680,7739769,116
N-t70b11xx_150,150,first,transpose,random,0.043277,6051685,97
N-t70b11xx_150,150,first,insert,CW,63.489537,9482925,1544
N-t70b11xx_150,150,first,insert,random,87.675940,9434392,2583
N-t70d11xn_150,150,first,exchange,CW,27.773097,5677646,1153
N-t70d11xn_150,150,first,exchange,random,28.089899,5640169,1441
N-t70d11xn_150,150,first,transpose,CW,0.066731,4698008,139
N-t70d11xn_150,150,first,transpose,random,0.077351,3608392,128
N-t70d11xn_150,150,first,insert,CW,76.254206,5714893,1586
N-t70d11xn_150,150,first,insert,random,117.880563,5738585,3726
N-t70d11xx_150,150,first,exchange,CW,25.967465,6057634,1172
N-t70d11xx_150,150,first,exchange,random,25.833745,5973328,1439
N-t70d11xx_150,150,first,transpose,CW,0.048403,4978394,124
N-t70d11xx_150,150,first,transpose,random,0.068086,4283429,143
N-t70d11xx_150,150,first,insert,CW,68.278225,6085565,1543
N-t70d11xx_150,150,first,insert,random,116.778849,6029183,3179
N-t70f11xx_150,150,first,exchange,CW,25.538590,4991186,1169
N-t70f11xx_150,150,first,exchange,random,29.935547,4994523,1367
N-t70f11xx_150,150,first,transpose,CW,0.043318,4089072,108
N-t70f11xx_150,150,first,transpose,random,0.055495,3241715,124
N-t70f11xx_150,150,first,insert,CW,75.085355,5045695,1572
N-t70f11xx_150,150,first,insert,random,107.418905,5037388,2678
N-t70l11xx_150,150,first,exchange,CW,23.184846,422938,904
N-t70l11xx_150,150,first,exchange,random,22.608615,425311,1245
N-t70l11xx_150,150,first,transpose,CW,0.020550,340538,41
N-t70l11xx_150,150,first,transpose,random,0.027063,271234,48
N-t70l11xx_150,150,first,insert,CW,36.299438,425968,939
N-t70l11xx_150,150,first,insert,random,53.938017,426305,1493
N-t70n11xx_150,150,first,exchange,CW,31.203884,919592,1404
N-t70n11xx_150,150,first,exchange,random,28.781128,925149,1598
N-t70n11xx_150,150,first,transpose,CW,0.041333,724885,102
N-t70n11xx_150,150,first,transpose,random,0.067780,593115,120
N-t70n11xx_150,150,first,insert,CW,82.622171,931978,1755
N-t70n11xx_150,150,first,insert,random,122.277976,929342,2885
N-t74d11xx_150,150,first,exchange,CW,30.771204,9154801,1209
N-t74d11xx_150,150,first,exchange,random,40.156917,9155096,1678
N-t74d11xx_150,150,first,transpose,CW,0.070488,7609206,149
N-t74d11xx_150,150,first,transpose,random,0.070420,6301767,142
N-t74d11xx_150,150,first,insert,CW,93.626511,9262819,1830
N-t74d11xx_150,150,first,insert,random,109.537739,9226556,3011
N-t75d11xx_150,150,first,exchange,CW,49.449991,9416906,1241
N-t75d11xx_150,150,first,exchange,random,34.590864,9390535,1561
N-t75d11xx_150,150,first,transpose,CW,0.060538,7789504,153
N-t75d11xx_150,150,first,transpose,random,0.061636,6114949,155
N-t75d11xx_150,150,first,insert,CW,78.441703,9518850,1751
N-t75d11xx_150,150,first,insert,random,122.468858,9344694,3082
N-t75e11xx_150,150,first,exchange,CW,35.679388,40872726,1371
N-t75e11xx_150,150,first,exchange,random,43.176334,40553529,1615
N-t75e11xx_150,150,first,transpose,CW,0.099301,32880307,139
N-t75e11xx_150,150,first,transpose,random,0.078317,26841183,130
N-t75e11xx_150,150,first,insert,CW,88.648713,40749590,1748
N-t75e11xx_150,150,first,insert,random,142.658882,40527132,2980
N-t75k11xx_150,150,first,exchange,CW,26.133385,1499220,1084
N-t75k11xx_150,150,first,exchange,random,27.238858,1499759,1351
N-t75k11xx_150,150,first,transpose,CW,0.050266,1218870,122
N-t75k11xx_150,150,first,transpose,random,0.050791,995065,117
N-t75k11xx_150,150,first,insert,CW,66.724590,1521737,1719
N-t75k11xx_150,150,first,insert,random,115.807863,1513972,2426
N-t75n11xx_150,150,first,exchange,CW,34.753758,1679965,1123
N-t75n11xx_150,150,first,exchange,random,39.066702,1699660,1682
N-t75n11xx_150,150,first,transpose,CW,0.042850,1330987,86
N-t75n11xx_150,150,first,transpose,random,0.048692,1081423,87
N-t75n11xx_150,150,first,insert,CW,72.268989,1701173,1707
N-t75n11xx_150,150,first,insert,random,110.268960,1712107,2925
N-tiw56n54_150,150,first,exchange,CW,20.620445,814923,928
N-tiw56n54_150,150,first,exchange,random,22.241298,815583,1311
N-tiw56n54_150,150,first,transpose,CW,0.063466,688060,127
N-tiw56n54_150,150,first,transpose,random,0.065216,575639,121
N-tiw56n54_150,150,first,insert,CW,62.837575,824283,1568
N-tiw56n54_150,150,first,insert,random,97.031496,825536,2810
N-tiw56n58_150,150,first,exchange,CW,20.997890,1129705,1035
N-tiw56n58_150,150,first,exchange,random,28.799660,1125148,1539
N-tiw56n58_150,150,first,transpose,CW,0.052353,928115,130
N-tiw56n58_150,150,first,transpose,random,0.068039,713317,142
N-tiw56n58_150,150,first,insert,CW,67.202345,1134735,1653
N-tiw56n58_150,150,first,insert,random,94.645265,1133421,3017
N-tiw56n62_150,150,first,exchange,CW,24.192106,1594544,1196
N-tiw56n62_150,150,first,exchange,random,24.826236,1575867,1489
N-tiw56n62_150,150,first,transpose,CW,0.059379,1319361,134
N-tiw56n62_150,150,first,transpose,random,0.066760,1057721,126
N-tiw56n62_150,150,first,insert,CW,62.967049,1603593,1658
N-tiw56n62_150,150,first,insert,random,107.638442,1589455,3018
N-tiw56n66_150,150,first,exchange,CW,23.947762,2050272,1168
N-tiw56n66_150,150,first,exchange,random,24.618721,2025597,1577
N-tiw56n66_150,150,first,transpose,CW,0.056769,1697073,143
N-tiw56n66_150,150,first,transpose,random,0.056233,1325388,114
N-tiw56n66_150,150,first,insert,CW,81.318178,2077110,1708
N-tiw56n66_150,150,first,insert,random,83.941928,2062717,3209
N-tiw56n67_150,150,first,exchange,CW,21.795278,2306728,1081
N-tiw56n67_150,150,first,exchange,random,32.653944,2302959,1621
N-tiw56n67_150,150,first,transpose,CW,0.064653,1957421,140
N-tiw56n67_150,150,first,transpose,random,0.046371,1597567,100
N-tiw56n67_150,150,first,insert,CW,88.798782,2329531,1794
N-tiw56n67_150,150,first,insert,random,116.695649,2330322,3107
N-tiw56n72_150,150,first,exchange,CW,31.881794,4035857,1153
N-tiw56n72_150,150,first,exchange,random,23.957487,4003547,1382
N-tiw56n72_150,150,first,transpose,CW,0.082371,3406309,148
N-tiw56n72_150,150,first,transpose,random,0.075965,2511906,103
